Nr:	 N:	 X:	 E:
2.3e-06	1.00972	0.504725	5.14484
2.31e-06	1.00972	0.504723	5.14708
2.32e-06	1.00972	0.504721	5.1493
2.33e-06	1.00972	0.504718	5.15157
2.34e-06	1.00972	0.504716	5.15385
2.35e-06	1.00971	0.504713	5.15616
2.36e-06	1.00971	0.504711	5.15847
2.37e-06	1.00971	0.504708	5.16078
2.38e-06	1.00971	0.504706	5.16309
2.39e-06	1.0097	0.504704	5.16539
2.4e-06	1.0097	0.504701	5.16772
2.41e-06	1.0097	0.504699	5.17004
2.42e-06	1.0097	0.504696	5.17241
2.43e-06	1.00969	0.504693	5.17475
2.44e-06	1.00969	0.504691	5.17711
2.45e-06	1.00969	0.504688	5.17946
2.46e-06	1.00969	0.504686	5.1818
2.47e-06	1.00968	0.504683	5.18417
2.48e-06	1.00968	0.504681	5.18654
2.49e-06	1.00968	0.504678	5.18894
2.5e-06	1.00968	0.504675	5.19136
2.51e-06	1.00967	0.504673	5.19377
2.52e-06	1.00967	0.50467	5.19621
2.53e-06	1.00967	0.504668	5.19863
2.54e-06	1.00967	0.504665	5.20105
2.55e-06	1.00966	0.504662	5.20349
2.56e-06	1.00966	0.504659	5.20593
2.57e-06	1.00966	0.504657	5.20839
2.58e-06	1.00966	0.504654	5.21089
2.59e-06	1.00965	0.504651	5.21338
2.6e-06	1.00965	0.504649	5.21589
2.61e-06	1.00965	0.504646	5.21841
2.62e-06	1.00965	0.504643	5.22092
2.63e-06	1.00964	0.50464	5.22343
2.64e-06	1.00964	0.504638	5.22597
2.65e-06	1.00964	0.504635	5.22852
2.66e-06	1.00963	0.504632	5.23108
2.67e-06	1.00963	0.504629	5.23368
2.68e-06	1.00963	0.504626	5.2363
2.69e-06	1.00963	0.504624	5.2389
2.7e-06	1.00962	0.504621	5.24154
2.71e-06	1.00962	0.504618	5.24418
2.72e-06	1.00962	0.504615	5.2468
2.73e-06	1.00962	0.504612	5.24942
2.74e-06	1.00961	0.504609	5.25208
2.75e-06	1.00961	0.504606	5.25474
2.76e-06	1.00961	0.504604	5.25739
2.77e-06	1.0096	0.504601	5.26008
2.78e-06	1.0096	0.504598	5.2628
2.79e-06	1.0096	0.504595	5.2655
2.8e-06	1.0096	0.504592	5.2682
2.81e-06	1.00959	0.504589	5.27092
2.82e-06	1.00959	0.504586	5.27363
2.83e-06	1.00959	0.504583	5.27633
2.84e-06	1.00958	0.50458	5.27904
2.85e-06	1.00958	0.504577	5.28179
2.86e-06	1.00958	0.504574	5.28455
2.87e-06	1.00958	0.504571	5.28729
2.88e-06	1.00957	0.504568	5.29005
2.89e-06	1.00957	0.504565	5.29285
2.9e-06	1.00957	0.504562	5.29567
2.91e-06	1.00956	0.504559	5.29846
2.92e-06	1.00956	0.504556	5.30125
2.93e-06	1.00956	0.504553	5.30407
2.94e-06	1.00956	0.504549	5.30689
2.95e-06	1.00955	0.504546	5.30969
2.96e-06	1.00955	0.504543	5.31251
2.97e-06	1.00955	0.50454	5.31532
2.98e-06	1.00954	0.504537	5.31818
2.99e-06	1.00954	0.504534	5.32105
3e-06	1.00954	0.50453	5.32391
3.01e-06	1.00953	0.504527	5.3268
3.02e-06	1.00953	0.504524	5.32968
3.03e-06	1.00953	0.504521	5.33261
3.04e-06	1.00953	0.504518	5.33552
3.05e-06	1.00952	0.504514	5.33843
3.06e-06	1.00952	0.504511	5.34133
3.07e-06	1.00952	0.504508	5.34427
3.08e-06	1.00951	0.504505	5.34721
3.09e-06	1.00951	0.504501	5.35016
3.1e-06	1.00951	0.504498	5.35311
3.11e-06	1.0095	0.504495	5.35608
3.12e-06	1.0095	0.504492	5.35908
3.13e-06	1.0095	0.504488	5.3621
3.14e-06	1.00949	0.504485	5.36513
3.15e-06	1.00949	0.504481	5.36818
3.16e-06	1.00949	0.504478	5.37121
3.17e-06	1.00948	0.504475	5.37428
3.18e-06	1.00948	0.504471	5.37734
3.19e-06	1.00948	0.504468	5.38044
3.2e-06	1.00948	0.504465	5.38351
3.21e-06	1.00947	0.504461	5.38658
3.22e-06	1.00947	0.504458	5.38965
3.23e-06	1.00947	0.504455	5.39275
3.24e-06	1.00946	0.504451	5.39589
3.25e-06	1.00946	0.504447	5.39901
3.26e-06	1.00946	0.504444	5.40214
3.27e-06	1.00945	0.50444	5.40527
3.28e-06	1.00945	0.504437	5.40843
3.29e-06	1.00945	0.504433	5.41162
3.3e-06	1.00944	0.50443	5.41481
3.31e-06	1.00944	0.504427	5.41802
3.32e-06	1.00944	0.504423	5.4212
3.33e-06	1.00943	0.504419	5.42439
3.34e-06	1.00943	0.504416	5.42761
3.35e-06	1.00943	0.504412	5.43082
3.36e-06	1.00942	0.504409	5.43406
3.37e-06	1.00942	0.504405	5.43728
3.38e-06	1.00942	0.504401	5.44049
3.39e-06	1.00941	0.504398	5.44373
3.4e-06	1.00941	0.504394	5.44697
3.41e-06	1.00941	0.50439	5.45023
3.42e-06	1.0094	0.504387	5.45354
3.43e-06	1.0094	0.504383	5.45683
3.44e-06	1.0094	0.50438	5.46013
3.45e-06	1.00939	0.504376	5.46345
3.46e-06	1.00939	0.504372	5.46676
3.47e-06	1.00938	0.504368	5.47008
3.48e-06	1.00938	0.504365	5.47344
3.49e-06	1.00938	0.504361	5.47679
3.5e-06	1.00937	0.504357	5.48015
3.51e-06	1.00937	0.504353	5.48351
3.52e-06	1.00937	0.50435	5.48686
3.53e-06	1.00936	0.504346	5.4902
3.54e-06	1.00936	0.504342	5.49357
3.55e-06	1.00936	0.504338	5.49695
3.56e-06	1.00935	0.504334	5.50033
3.57e-06	1.00935	0.504331	5.50375
3.58e-06	1.00935	0.504327	5.50715
3.59e-06	1.00934	0.504323	5.51054
3.6e-06	1.00934	0.504319	5.51395
3.61e-06	1.00934	0.504315	5.5174
3.62e-06	1.00933	0.504311	5.52084
3.63e-06	1.00933	0.504307	5.52429
3.64e-06	1.00932	0.504303	5.5278
3.65e-06	1.00932	0.504299	5.53129
3.66e-06	1.00932	0.504295	5.53476
3.67e-06	1.00931	0.504291	5.53825
3.68e-06	1.00931	0.504288	5.54176
3.69001e-06	1.00931	0.504284	5.54525
3.70001e-06	1.0093	0.504279	5.54876
3.71001e-06	1.0093	0.504275	5.5523
3.72001e-06	1.0093	0.504271	5.55584
3.73001e-06	1.00929	0.504267	5.55939
3.74001e-06	1.00929	0.504263	5.56291
3.75001e-06	1.00928	0.504259	5.56646
3.76001e-06	1.00928	0.504255	5.57001
3.77001e-06	1.00928	0.504251	5.57357
3.78001e-06	1.00927	0.504247	5.57716
3.79001e-06	1.00927	0.504243	5.58077
3.80001e-06	1.00927	0.504239	5.58442
3.81001e-06	1.00926	0.504235	5.58804
3.82001e-06	1.00926	0.504231	5.59169
3.83001e-06	1.00925	0.504227	5.59534
3.84001e-06	1.00925	0.504222	5.59901
3.85001e-06	1.00925	0.504218	5.60266
3.86001e-06	1.00924	0.504214	5.60635
3.87001e-06	1.00924	0.50421	5.61006
3.88001e-06	1.00923	0.504205	5.6138
3.89001e-06	1.00923	0.504201	5.61752
3.90001e-06	1.00923	0.504197	5.62125
3.91001e-06	1.00922	0.504193	5.62497
3.92001e-06	1.00922	0.504189	5.62871
3.93001e-06	1.00921	0.504184	5.63243
3.94001e-06	1.00921	0.50418	5.63617
3.95001e-06	1.00921	0.504176	5.63991
3.96001e-06	1.0092	0.504171	5.6437
3.97001e-06	1.0092	0.504167	5.64749
3.98001e-06	1.0092	0.504163	5.65129
3.99001e-06	1.00919	0.504158	5.65507
4.00001e-06	1.00919	0.504154	5.65888
4.01001e-06	1.00918	0.50415	5.66271
4.02001e-06	1.00918	0.504145	5.66652
4.03001e-06	1.00918	0.504141	5.67035
4.04001e-06	1.00917	0.504137	5.67417
4.05001e-06	1.00917	0.504132	5.67806
4.06001e-06	1.00916	0.504128	5.68196
4.07001e-06	1.00916	0.504123	5.68586
4.08001e-06	1.00916	0.504119	5.68977
4.09001e-06	1.00915	0.504114	5.69367
4.10001e-06	1.00915	0.50411	5.6976
4.11001e-06	1.00914	0.504105	5.70152
4.12001e-06	1.00914	0.504101	5.70543
4.13001e-06	1.00913	0.504096	5.70935
4.14001e-06	1.00913	0.504092	5.71327
4.15001e-06	1.00913	0.504087	5.71725
4.16001e-06	1.00912	0.504083	5.72122
4.17001e-06	1.00912	0.504078	5.72519
4.18001e-06	1.00911	0.504073	5.72918
4.19001e-06	1.00911	0.504069	5.73314
4.20001e-06	1.00911	0.504064	5.73714
4.21001e-06	1.0091	0.504059	5.74114
4.22001e-06	1.0091	0.504055	5.74512
4.23001e-06	1.00909	0.50405	5.74911
4.24001e-06	1.00909	0.504046	5.75311
4.25001e-06	1.00909	0.504041	5.75713
4.26001e-06	1.00908	0.504036	5.7612
4.27001e-06	1.00908	0.504032	5.76527
4.28001e-06	1.00907	0.504027	5.76935
4.29002e-06	1.00907	0.504022	5.77343
4.30002e-06	1.00906	0.504017	5.77752
4.31002e-06	1.00906	0.504013	5.78162
4.32002e-06	1.00906	0.504008	5.78575
4.33002e-06	1.00905	0.504003	5.78986
4.34002e-06	1.00905	0.503998	5.79396
4.35002e-06	1.00904	0.503994	5.79808
4.36002e-06	1.00904	0.503989	5.80222
4.37002e-06	1.00903	0.503984	5.80638
4.38002e-06	1.00903	0.503979	5.81057
4.39002e-06	1.00902	0.503974	5.81476
4.40002e-06	1.00902	0.50397	5.81893
4.41002e-06	1.00902	0.503965	5.82312
4.42002e-06	1.00901	0.50396	5.82732
4.43002e-06	1.00901	0.503955	5.8315
4.44002e-06	1.009	0.50395	5.83571
4.45002e-06	1.009	0.503945	5.83992
4.46002e-06	1.00899	0.50394	5.84408
4.47002e-06	1.00899	0.503935	5.84828
4.48002e-06	1.00899	0.50393	5.85251
4.49002e-06	1.00898	0.503925	5.85673
4.50002e-06	1.00898	0.50392	5.86099
4.51002e-06	1.00897	0.503915	5.86526
4.52002e-06	1.00897	0.50391	5.86953
4.53002e-06	1.00896	0.503905	5.87378
4.54002e-06	1.00896	0.5039	5.87806
4.55002e-06	1.00895	0.503895	5.88237
4.56002e-06	1.00895	0.50389	5.88665
4.57002e-06	1.00894	0.503885	5.89096
4.58002e-06	1.00894	0.50388	5.89526
4.59002e-06	1.00894	0.503875	5.89958
4.60002e-06	1.00893	0.50387	5.90387
4.61002e-06	1.00893	0.503865	5.90822
4.62002e-06	1.00892	0.50386	5.91258
4.63002e-06	1.00892	0.503855	5.91697
4.64002e-06	1.00891	0.50385	5.92135
4.65002e-06	1.00891	0.503844	5.92576
4.66002e-06	1.0089	0.503839	5.93016
4.67002e-06	1.0089	0.503834	5.93456
